date_time,GHI_clear,DNI_clear,DHI_clear,POA_clear,P_theoretical_W
2019-05-04 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 13:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 13:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 14:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 14:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 15:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 15:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 16:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 16:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 17:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 17:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 18:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 18:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 19:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 19:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 20:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 20:45:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 21:15:00+00:00,0.0,0.0,0.0,0.0,0.0
2019-05-04 21:30:00+00:00,0.0008341744899138492,0.2781754807446949,0.0007829638485552634,0.0007563542037895785,14.824542394275738
2019-05-04 21:45:00+00:00,4.537046203873721,28.22563062688703,3.2713701964016257,2.3158620820172384,45390.89680753787
2019-05-04 22:00:00+00:00,26.6141430692479,132.10949455325968,14.302752726281918,10.613931870709589,208033.06466590796
2019-05-04 22:15:00+00:00,64.03324211529565,258.4686419301283,27.125947248390624,20.433032463628145,400487.43628711166
2019-05-04 22:30:00+00:00,110.18652176661354,370.61885567413503,38.71638537025527,56.22553822709545,1102020.5492510707
2019-05-04 22:45:00+00:00,161.05690117692413,462.33495708315684,48.74055208897403,102.75679302897696,2014033.1433679482
2019-05-04 23:00:00+00:00,214.42453220490813,536.1280846660875,57.45612795248468,156.1044552126412,3059647.322167767
2019-05-04 23:15:00+00:00,268.9708430239469,595.7191771401513,65.15300582583959,213.79665997653655,4190414.5355401165
2019-05-04 23:30:00+00:00,323.83154782325647,644.3058659154042,72.05571625689001,274.0744835796724,5371859.878161579
2019-05-04 23:45:00+00:00,378.3850995838477,684.3483219167216,78.32418653841631,336.88739310715744,6602992.904900285
2019-05-05 00:00:00+00:00,431.46549553195206,715.5107742125314,84.44172849738811,397.9806134101992,7800420.022839904
2019-05-05 00:15:00+00:00,484.0027705782656,743.5930391165089,89.76109026705905,459.10514441797204,8998460.830592254
2019-05-05 00:30:00+00:00,535.013495109009,767.3703789257708,94.68424620620897,519.1212190838559,10174775.894043574
2019-05-05 00:45:00+00:00,584.1951097163222,787.627785550366,99.24806507119064,577.4924728583766,11318852.468024181
2019-05-05 01:00:00+00:00,631.275099730742,804.9692297000952,103.47756466883959,633.7568921899956,12421635.086923912
2019-05-05 01:15:00+00:00,676.0053195546211,819.8645898924199,107.38936768038764,687.5099245635442,13475194.521445466
2019-05-05 01:30:00+00:00,718.1586118593976,832.6831411679408,110.9941229249714,738.3933372898125,14472509.410880325
2019-05-05 01:45:00+00:00,757.5268282510508,843.7176617274081,114.29822905017784,781.6098775179925,15319553.599352654
2019-05-05 02:00:00+00:00,793.9196848950943,853.2019560245576,117.30507857768191,825.1351341078973,16172648.628514785
2019-05-05 02:15:00+00:00,827.164153885225,861.3237310061819,120.01597034634335,864.9421475669258,16952866.092311744
2019-05-05 02:30:00+00:00,857.1042032001377,868.2341532040884,122.43078884029887,900.8149154768518,17655972.343346298
2019-05-05 02:45:00+00:00,883.6007285964032,874.0549959614824,124.54851389526095,932.5656496585859,18278286.73330828
2019-05-05 03:00:00+00:00,906.5316119867678,878.8840208804041,126.3676073625021,960.0342525140888,18816671.34927614
2019-05-05 03:15:00+00:00,925.7918576187634,882.7990435217663,127.88630849165384,983.0881252764385,19268527.255418196
2019-05-05 03:30:00+00:00,941.2937459948464,885.8609958212766,129.10285822118283,1001.6219684263971,19631790.581157383
2019-05-05 03:45:00+00:00,952.9669924665071,888.1162125944181,130.01566912001442,1015.5571174660324,19904919.502334233
2019-05-05 04:00:00+00:00,960.758893064047,889.5980999540943,130.6234523472857,1024.8398158736316,20000000.0
2019-05-05 04:15:00+00:00,964.6344313673287,890.3282932148165,130.9253083765468,1029.4380519023437,20000000.0
2019-05-05 04:30:00+00:00,964.5763498291047,890.3173833967753,130.92078670169326,1029.3375865218093,20000000.0
2019-05-05 04:45:00+00:00,960.5851835674302,889.5652650104606,130.60991569682392,1024.5390510986326,20000000.0
2019-05-05 05:00:00+00:00,952.6792566454031,888.0611336254292,129.99320212973396,1015.0579924279149,19895136.65158713
2019-05-05 05:15:00+00:00,940.8946462692176,885.783134034233,129.0716007851355,1000.9278371711489,19618185.608554516
2019-05-05 05:30:00+00:00,925.2851045830445,882.6976282644969,127.84645391420293,982.2038557543289,19251195.572784845
2019-05-05 05:45:00+00:00,905.9219442445042,878.7580313677869,126.3193996093488,958.9662801454014,18795739.090849865
2019-05-05 06:00:00+00:00,882.8938953347857,873.9031380019114,124.49224468650561,931.3219992755377,18253911.18580054
2019-05-05 06:15:00+00:00,856.3069358112774,868.0548271983398,122.36679339789418,899.4051927022302,17628341.77696371
2019-05-05 06:30:00+00:00,826.284131139807,861.1149905607398,119.94462199440238,863.3775212285502,16922199.416079585
2019-05-05 06:45:00+00:00,792.9655064985769,852.9614588049633,117.22678321350213,823.4283379606828,16139195.424029384
2019-05-05 07:00:00+00:00,756.5079746280741,843.4426052873521,114.21341748048837,779.7752111701511,15283594.138934962
2019-05-05 07:15:00+00:00,717.0853998593591,832.370182571171,110.90324151337518,736.4109296042758,14433654.220243806
2019-05-05 07:30:00+00:00,674.8888731240213,819.5097510652735,107.29286851313873,685.4329428378607,13434485.679622069
2019-05-05 07:45:00+00:00,630.1273066376083,804.5677768060831,103.37589231523555,631.6049830216713,12379457.667224757
2019-05-05 08:00:00+00:00,583.028579883979,787.1740816558029,99.14164049659053,575.2871332603027,11275627.81190193
2019-05-05 08:15:00+00:00,533.8415447706192,766.8577164836431,94.57344919326346,516.8860179817193,10130965.952441698
2019-05-05 08:30:00+00:00,482.83940073515043,743.0134436777262,89.64623663050827,456.86601634200656,8954573.92030333
2019-05-05 08:45:00+00:00,430.325390393415,714.8548022643761,84.32304347618265,395.7662819045108,7757019.125328411
2019-05-05 09:00:00+00:00,376.6424224840993,681.3481359937198,78.55003449383088,334.2268127867807,6550845.530620902
2019-05-05 09:15:00+00:00,322.18961145355655,641.120543535009,72.24923083358914,271.5668065520282,5322709.4084197525
2019-05-05 09:30:00+00:00,267.45162740950474,592.3358960580811,65.30805902326159,211.50849181273938,4145566.439529692
